symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
6196,,,,,0,10,2,-440353,9000,34353,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6197,,,,,0,3,2,-45440,1000,70284,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6201,,,,,5,0,1,1000,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6202,,,,,2,0,0,505000,0,-20041,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6205,,,,,1,0,3,45264,0,5000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6206,,,,,0,1,0,-692607,9000,-143755,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6209,,,,,1,0,1,753054,0,230667,2026-07-31,TWSE T86 official,official-only,,,40.2,40.2
6213,,,,,0,0,1,-437600,-85000,56813,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6214,,,,,3,0,0,2405913,0,-8327,2026-07-31,TWSE T86 official,official-only,,,40.5,40.5
6215,,,,,3,0,1,73272,0,22167,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6216,,,,,3,0,1,30000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6224,,,,,1,0,1,10080,0,11000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6225,,,,,0,0,0,-1000,0,0,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6226,0.0,0,,0,0,2,1,-956480,8000,2000,2026-07-31,TWSE T86 official,degraded,,,0.0,0.0
6230,,,,,0,0,3,0,0,5000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6235,,,,,3,0,1,203894,0,6160,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6239,,,,,0,2,1,-1712541,527000,192719,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6243,,,,,1,0,1,916239,0,26000,2026-07-31,TWSE T86 official,official-only,,,40.2,40.2
6257,,,,,0,1,2,-1809835,297135,13503,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6269,,,,,0,3,1,-157321,3000,74677,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6271,,,,,0,0,2,-3095789,-383000,44454,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6272,,,,,0,0,1,-3800,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6277,,,,,4,1,1,358074,1000,5017,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6278,,,,,0,0,0,-633206,-337000,-14078,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6281,,,,,6,0,1,10000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6282,,,,,1,1,1,364606,10000,162882,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6283,,,,,2,0,1,27000,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6285,,,,,0,1,2,-38497,12000,121630,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6405,,,,,0,0,0,-18000,0,0,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6409,,,,,0,3,1,-27617,7000,20869,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6412,,,,,0,0,1,-76565,0,25485,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6414,,,,,0,0,0,-942106,0,-103979,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6415,,,,,0,0,2,-2800,-170000,21177,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6416,,,,,0,0,1,-209880,0,9000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6426,,,,,4,0,1,38000,0,3000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6431,,,,,2,0,0,7000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6438,,,,,3,0,1,2000,0,16970,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6442,,,,,0,0,1,-102552,-8000,29900,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6443,,,,,5,0,0,30693,0,-49000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6446,,,,,0,3,1,-627043,7449,52054,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6449,,,,,0,0,1,-85049,0,4515,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6451,,,,,0,0,1,-930732,0,26963,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6456,,,,,1,0,1,68984,0,49046,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6464,,,,,3,0,1,6000,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6472,,,,,5,3,0,66315,1000,-6419,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6477,,,,,1,0,0,438200,0,0,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6491,,,,,0,0,1,-105500,0,11391,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6504,,,,,0,0,0,-4000,0,0,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6505,,,,,0,4,3,-9623253,179445,680812,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6515,,,,,3,0,3,10071,-24000,7635,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6525,,,,,0,0,0,-63000,0,-425,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6526,,,,,0,1,1,-59578,42000,4213,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6531,,,,,0,0,1,-1047586,-268929,134817,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6533,,,,,4,1,1,443130,20000,12852,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6534,,,,,6,0,0,31000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6541,,,,,0,0,1,-1720,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6550,,,,,0,0,1,-800000,0,7000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
