symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy,official_broker_net_buy
6957,,,,,1,0,0,5160,0,-1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6958,,,,,3,0,0,5000,0,-3000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6962,,,,,0,0,0,-577000,0,-2909,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6965,,,,,2,0,2,5000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6969,,,,,2,0,0,66000,0,-1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6988,,,,,0,0,1,-9000,0,5000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6994,,,,,1,0,1,52000,0,12,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7610,,,,,0,0,1,-67678,0,925,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7631,,,,,3,0,1,9888,0,273,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7689,,,,,0,0,0,-6000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7705,,,,,6,0,0,4000,0,-4001,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7711,,,,,1,0,0,60946,0,-8479,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7721,,,,,3,0,0,17000,0,-939,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7722,,,,,3,0,2,10064,-1000,585,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7730,,,,,1,0,2,25000,0,420,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7732,,,,,0,0,1,-1000,0,1000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7736,,,,,2,0,0,5000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7740,,,,,0,0,0,-28000,0,-495,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7749,,,,,0,0,0,-1942,0,-101,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7750,,,,,0,0,3,-2842,-2000,7647,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7760,,,,,0,0,0,-5000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7765,,,,,2,0,0,14000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7768,,,,,0,0,0,-950,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7769,,,,,3,0,3,70245,-46366,1097,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7780,,,,,3,0,0,522450,0,-330,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
7786,,,,,0,0,0,-73000,0,-2000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7788,,,,,1,0,2,488930,0,141795,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
7791,,,,,2,0,0,6000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7795,,,,,0,0,2,-457058,0,62980,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7799,,,,,2,0,0,155018,0,-1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7803,,,,,2,0,2,5000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7818,,,,,0,0,0,-23000,0,-8000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7821,,,,,0,0,0,-11000,0,-15000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7822,,,,,3,0,1,96996,0,10212,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7823,,,,,1,0,2,1000,0,207,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
7827,,,,,0,0,3,-54708,0,323,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7835,,,,,0,0,0,-1000,0,-9000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
7855,,,,,0,0,0,-9000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8011,,,,,2,0,2,161170,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8016,,,,,2,0,2,71277,-12000,7242,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8021,,,,,1,0,0,223862,-394000,-14572,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8028,,,,,0,0,2,-292485,0,5719,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8033,,,,,1,0,1,1050436,-3000,46279,2026-08-27,TWSE T86 official,official-only,,,40.2,40.2,
8039,0.0,0,,0,1,6,3,1613976,1910000,9536,2026-08-27,TWSE T86 official,degraded,,,40.6,40.6,0
8045,,,,,3,0,2,52000,0,1,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8046,,,,,0,2,1,-441590,342921,139766,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8070,,,,,2,0,0,48859,-40000,-30096,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8072,,,,,2,0,0,45000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8081,,,,,4,0,0,89516,-2100,-4000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8101,,,,,0,0,0,-150,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8103,,,,,4,0,0,1847246,0,-90671,2026-08-27,TWSE T86 official,official-only,,,40.4,40.4,
8104,,,,,4,0,2,190000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8105,,,,,0,0,2,-363000,-201000,174911,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8110,,,,,2,0,2,1011609,0,9371,2026-08-27,TWSE T86 official,official-only,,,40.2,40.2,
8112,,,,,0,0,0,-1851767,-12000,-276514,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8114,,,,,2,0,0,14000,-1000,-712,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8131,,,,,2,0,2,314994,0,4280,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
8150,0.0,0,,0,0,1,0,-3602391,101000,-103065,2026-08-27,TWSE T86 official,degraded,,,0.0,0.0,0
8162,,,,,0,0,2,-72961,0,5395,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8163,,,,,3,0,1,145164,0,3086,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8201,,,,,0,0,0,-10000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8210,,,,,0,0,0,-267807,-1000,-1847,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8213,,,,,2,0,1,214000,0,776,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8215,,,,,2,0,0,234000,0,-192,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8222,,,,,4,0,0,516574,0,0,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
8249,,,,,7,0,2,22200,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8261,,,,,1,0,0,599826,-7000,-65157,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
8271,,,,,1,0,1,1415853,0,73252,2026-08-27,TWSE T86 official,official-only,,,40.3,40.3,
8341,,,,,0,0,0,-4230,0,-20717,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8367,,,,,2,0,0,1000,0,-2000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8374,,,,,4,0,0,20000,0,-508,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8404,,,,,7,0,2,113000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8411,,,,,0,0,0,-1000,0,-16000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8422,,,,,0,1,0,-460989,1000,-1709,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8429,,,,,6,0,3,74000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8438,,,,,3,0,0,75960,0,-4029,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8442,,,,,0,0,0,-2000,0,-7000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8443,,,,,1,0,1,2000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8454,,,,,0,0,0,-30444,-92,-7665,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8462,,,,,2,0,0,2745,0,-1094,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8463,,,,,2,0,0,6000,0,-82,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8464,,,,,0,0,1,-2295,-4000,1983,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8466,,,,,0,0,0,-1000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8467,,,,,1,0,0,1000,0,-1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8473,,,,,3,0,6,129879,0,996,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8476,,,,,2,0,0,130000,-2000,-2000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8478,,,,,3,0,0,33987,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8481,,,,,0,0,0,-2000,0,-3000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
8482,,,,,2,0,0,2000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8487,,,,,1,0,0,2000,0,-3000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8488,,,,,2,0,1,1000,0,3000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8499,,,,,2,0,1,50000,0,1251,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8926,,,,,3,1,0,424071,1000,-18623,2026-08-27,TWSE T86 official,official-only,,,40.1,40.1,
8940,,,,,2,0,2,2000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
8996,,,,,0,10,4,-1479843,766000,115501,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
9103,,,,,2,0,1,100000,0,120,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
9105,,,,,2,0,0,2483000,0,-46566,2026-08-27,TWSE T86 official,official-only,,,40.5,40.5,
9136,,,,,1,0,1,81000,0,845,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
9802,,,,,0,0,5,-69669,0,38000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
9902,,,,,0,0,0,-3000,0,-1000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
9904,,,,,0,0,0,-7057476,-113000,-109533,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
9905,,,,,2,0,0,6000,0,-16355,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
9906,,,,,9,0,0,32000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
